2025-08-20 16:55:58 - INFO - Inputs:
2025-08-20 16:55:58 - INFO -  --> input_file = example_input.xlsx
2025-08-20 16:55:58 - INFO -  --> output_folder = example_output
2025-08-20 16:55:58 - INFO -  --> seed = 321
2025-08-20 16:55:58 - INFO -  --> unavailable = NIET
2025-08-20 16:55:58 - INFO -  --> clip_bot = 1
2025-08-20 16:55:58 - INFO -  --> clip_upp = 41
2025-08-20 16:55:58 - INFO -  --> net = False
2025-08-20 16:55:58 - INFO -  --> tabu_length = 4
2025-08-20 16:55:58 - INFO -  --> perturbation_length = 50
2025-08-20 16:55:58 - INFO -  --> n_iterations = 500
2025-08-20 16:55:58 - INFO -  --> m = 7
2025-08-20 16:55:58 - INFO -  --> p = 1000
2025-08-20 16:55:58 - INFO -  --> r_max = 4
2025-08-20 16:55:58 - INFO -  --> alpha = 0.5
2025-08-20 16:55:58 - INFO -  --> beta = 0.01
2025-08-20 16:55:58 - INFO -  --> cost_excessive_rest_days = 500.0
2025-08-20 16:55:58 - INFO - PROCESSING LEAGUE > LEAGUE A
2025-08-20 16:55:59 - INFO - Read and parsed input data
2025-08-20 16:55:59 - INFO - Phase 1: Construction
2025-08-20 16:55:59 - INFO - Initialized schedule using method 1 with cost 3274.0
2025-08-20 16:56:00 - INFO - Initialized schedule using method 2 with cost 848.0
2025-08-20 16:56:00 - INFO - Comparing costs 3274.0 vs. 848.0
2025-08-20 16:56:00 - INFO - Initialization method 2 is best
2025-08-20 16:56:00 - INFO - Phase 2: Tabu & perturbation
2025-08-20 16:56:01 - INFO - Iteration    76  ->  Cost =  2935.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    77  ->  Cost =  2927.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    78  ->  Cost =  2929.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    79  ->  Cost =  1931.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    80  ->  Cost =  1916.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    81  ->  Cost =  1424.0 | Rest days = 0
2025-08-20 16:56:01 - INFO - Iteration    82  ->  Cost =  1927.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    83  ->  Cost =  2443.0 | Rest days = 2
2025-08-20 16:56:01 - INFO - Iteration    84  ->  Cost =  1439.0 | Rest days = 2
2025-08-20 16:56:01 - INFO - Iteration    85  ->  Cost =  1439.0 | Rest days = 2
2025-08-20 16:56:01 - INFO - Iteration    86  ->  Cost =   949.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    87  ->  Cost =   941.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    88  ->  Cost =   929.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    89  ->  Cost =   936.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    90  ->  Cost =   936.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    91  ->  Cost =   939.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    92  ->  Cost =  1439.0 | Rest days = 2
2025-08-20 16:56:02 - INFO - Iteration    93  ->  Cost =  1431.0 | Rest days = 2
2025-08-20 16:56:02 - INFO - Iteration    94  ->  Cost =  1444.0 | Rest days = 2
2025-08-20 16:56:02 - INFO - Iteration    95  ->  Cost =   949.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration    96  ->  Cost =   949.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration    97  ->  Cost =   947.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration    98  ->  Cost =   952.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration    99  ->  Cost =   942.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   100  ->  Cost =   955.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   101  ->  Cost =  1955.0 | Rest days = 3
2025-08-20 16:56:02 - INFO - Iteration   102  ->  Cost =  1951.0 | Rest days = 3
2025-08-20 16:56:02 - INFO - Iteration   103  ->  Cost =  1944.0 | Rest days = 3
2025-08-20 16:56:02 - INFO - Iteration   104  ->  Cost =  1941.0 | Rest days = 3
2025-08-20 16:56:02 - INFO - Iteration   105  ->  Cost =  1951.0 | Rest days = 3
2025-08-20 16:56:02 - INFO - Iteration   106  ->  Cost =   946.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   107  ->  Cost =   949.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   108  ->  Cost =   951.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   109  ->  Cost =   941.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   110  ->  Cost =   923.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   111  ->  Cost =   920.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   112  ->  Cost =   923.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   113  ->  Cost =   915.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   114  ->  Cost =   904.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   115  ->  Cost =   901.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   116  ->  Cost =   901.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   117  ->  Cost =   896.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   118  ->  Cost =   891.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   119  ->  Cost =   909.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   120  ->  Cost =   908.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   121  ->  Cost =   888.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   122  ->  Cost =   891.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   123  ->  Cost =   888.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   124  ->  Cost =   888.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   125  ->  Cost =   888.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   126  ->  Cost =   885.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   127  ->  Cost =   894.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   128  ->  Cost =   891.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   129  ->  Cost =   872.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   130  ->  Cost =   874.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   131  ->  Cost =   870.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   132  ->  Cost =   870.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   133  ->  Cost =   870.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   134  ->  Cost =   859.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   135  ->  Cost =   863.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   136  ->  Cost =   863.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   137  ->  Cost =   871.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   138  ->  Cost =   876.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   139  ->  Cost =   881.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   140  ->  Cost =   874.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   141  ->  Cost =   859.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   142  ->  Cost =   859.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   143  ->  Cost =   854.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   144  ->  Cost =   854.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   145  ->  Cost =   854.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   146  ->  Cost =   844.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   147  ->  Cost =   841.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   148  ->  Cost =   847.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   149  ->  Cost =   847.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   150  ->  Cost =   845.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   151  ->  Cost =   849.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   152  ->  Cost =   854.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   153  ->  Cost =   854.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   154  ->  Cost =   854.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   155  ->  Cost =   859.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   156  ->  Cost =   859.0 | Rest days = 1
2025-08-20 16:56:02 - INFO - Iteration   157  ->  Cost =  1356.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   158  ->  Cost =  1346.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   159  ->  Cost =  1348.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   160  ->  Cost =  1361.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   161  ->  Cost =  1361.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   162  ->  Cost =  1361.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   163  ->  Cost =  1361.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   164  ->  Cost =  1361.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   165  ->  Cost =  1361.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   166  ->  Cost =  1345.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   167  ->  Cost =  1343.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   168  ->  Cost =  1343.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   169  ->  Cost =  1343.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   170  ->  Cost =  1343.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   171  ->  Cost =  1330.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   172  ->  Cost =  1330.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   173  ->  Cost =  1330.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   174  ->  Cost =  1330.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   175  ->  Cost =  1335.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   176  ->  Cost =  1335.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   177  ->  Cost =  1335.0 | Rest days = 2
